FAMILY,BASIC_DISCOUNT,DISCOUNT_2,
2830,50,10,
2836,50,20,
4801,50,30,
4802,50,0,
2805,50,15,
2806,50,15,
2807,50,15,
2850,50,30,
2851,50,30,
2852,50,30,
2853,50,30,
2854,50,30,
2855,50,30,
2856,50,30,
2857,50,30,
2858,50,30,
2859,50,30,
2860,50,30,
2861,50,30,
2862,50,30,
3828,50,30,
3875,50,30,
3880,50,20,
0980,50,76,
3610,50,29,
3640,50,5,
4515,50,30,
4517,50,30,
4518,50,30,
4519,50,30,
4520,50,30,
4523,50,15,
4524,50,15,
4525,50,15,
4531,50,15,
4532,50,15,
4560,50,15,
1050,50,19,
1052,50,40,
1018,50,-25,
3133,50,49,
4133,50,38,
4115,50,38,
0975,50,35,
0987,50,35,
0981,50,10,
3165,50,20,
3168,50,15,
3066,50,15,
2147,50,35,
2143,50,25,
2144,50,35,
2145,50,25,
2146,50,45,
2117,50,24,
2191,50,24,
2194,50,24,
2200,50,24,
2894,50,24,
2204,50,15,
2214,50,15,
2205,50,24,
2215,50,24,
2206,50,24,
2216,50,24,
2207,50,24,
2217,50,24,
2210,50,24,
2211,50,24,
2212,50,24,
3194,50,24,
3211,50,24,
0979,50,10,
0983,50,10,
2202,50,19,
0984,50,15,
0754,50,38,
0755,50,38,
0788,50,38,
079A,50,38,
0782,50,19,
0783,50,19,
0776,50,19,
0718,50,0,
0711,50,45,
,,,
,,,
,,,
